State Name,LGA Name,WARD Name,Old Ward Total Pop.,Ward old % Pop.,New Ward Total. Pop.2009,Old LGA Total Pop,New LGA Total Pop.2009,New Ward 2009 0-59Mth Target,New Ward 2009 9-59Mth Target
Jigawa,Auyo,Auyakayi,13615,8%," 	11,599 "," 	168,824 "," 	143,821 "," 	1,972 "," 	2,320 "
Jigawa,Auyo,Auyo,17400,10%," 	14,823 ",,," 	2,520 "," 	2,965 "
Jigawa,Auyo,Ayama,18425,11%," 	15,696 ",,," 	2,668 "," 	3,139 "
Jigawa,Auyo,Ayan,16200,10%," 	13,801 ",,," 	2,346 "," 	2,760 "
Jigawa,Auyo,Gamafoi,16400,10%," 	13,971 ",,," 	2,375 "," 	2,794 "
Jigawa,Auyo,Gamsarka,18260,11%," 	15,556 ",,," 	2,644 "," 	3,111 "
Jigawa,Auyo,Gatafa,16074,10%," 	13,693 ",,," 	2,328 "," 	2,739 "
Jigawa,Auyo,Kafur,12400,7%," 	10,564 ",,," 	1,796 "," 	2,113 "
Jigawa,Auyo,Tsidar,12300,7%," 	10,478 ",,," 	1,781 "," 	2,096 "
Jigawa,Auyo,Unik,27750,16%," 	23,640 ",,," 	4,019 "," 	4,728 "
Jigawa,Babura,Babura,30390,18%," 	41,747 "," 	165,055 "," 	226,736 "," 	7,097 "," 	8,349 "
Jigawa,Babura,Batali,12464,8%," 	17,122 ",,," 	2,911 "," 	3,424 "
Jigawa,Babura,Dorawa,8100,5%," 	11,127 ",,," 	1,892 "," 	2,225 "
Jigawa,Babura,Garu,5940,4%," 	8,160 ",,," 	1,387 "," 	1,632 "
Jigawa,Babura,Gasakoli,10800,7%," 	14,836 ",,," 	2,522 "," 	2,967 "
Jigawa,Babura,Insharuwa,15726,10%," 	21,603 ",,," 	3,672 "," 	4,321 "
Jigawa,Babura,Jigawa,24540,15%," 	33,711 ",,," 	5,731 "," 	6,742 "
Jigawa,Babura,Kanya,26750,16%," 	36,746 ",,," 	6,247 "," 	7,349 "
Jigawa,Babura,Kuzunzumi,6950,4%," 	9,547 ",,," 	1,623 "," 	1,909 "
Jigawa,Babura,Kyambo,6095,4%," 	8,373 ",,," 	1,423 "," 	1,675 "
Jigawa,Babura,Takwasa,17300,10%," 	23,765 ",,," 	4,040 "," 	4,753 "
Jigawa,Biriniwa,Batu,14505,11%," 	16,852 "," 	133,475 "," 	155,074 "," 	2,865 "," 	3,370 "
Jigawa,Biriniwa,Birniwa,15925,12%," 	18,502 ",,," 	3,145 "," 	3,700 "
Jigawa,Biriniwa,Dangwaleri,9415,7%," 	10,939 ",,," 	1,860 "," 	2,188 "
Jigawa,Biriniwa,Diginsa,19170,14%," 	22,272 ",,," 	3,786 "," 	4,454 "
Jigawa,Biriniwa,Fagi,9510,7%," 	11,049 ",,," 	1,878 "," 	2,210 "
