State Name,LGA Name,WARD Name,Old Ward Total Pop.,Ward old % Pop.,New Ward Total. Pop.2009,Old LGA Total Pop,New LGA Total Pop.2009,New Ward 2009 0-59Mth Target,New Ward 2009 9-59Mth Target
Kaduna,Birnin Gwari,Damari,21250,14%," 	37,719 "," 	155,361 "," 	275,764 "," 	6,412 "," 	7,544 "
Kaduna,Birnin Gwari,Dogon Dawa,23614,15%," 	41,915 ",,," 	7,125 "," 	8,383 "
Kaduna,Birnin Gwari,Gayam,7526,5%," 	13,359 ",,," 	2,271 "," 	2,672 "
Kaduna,Birnin Gwari,Kakangi,14650,9%," 	26,004 ",,," 	4,421 "," 	5,201 "
Kaduna,Birnin Gwari,kutemeshi,11050,7%," 	19,614 ",,," 	3,334 "," 	3,923 "
Kaduna,Birnin Gwari,Kuyello,14640,9%," 	25,986 ",,," 	4,418 "," 	5,197 "
Kaduna,Birnin Gwari,Magajin Gari I,4990,3%," 	8,857 ",,," 	1,506 "," 	1,771 "
Kaduna,Birnin Gwari,Magajin Gari II,17095,11%," 	30,343 ",,," 	5,158 "," 	6,069 "
Kaduna,Birnin Gwari,Magajin Gari III,13836,9%," 	24,559 ",,," 	4,175 "," 	4,912 "
Kaduna,Birnin Gwari,Randagi,12560,8%," 	22,294 ",,," 	3,790 "," 	4,459 "
Kaduna,Birnin Gwari,Tabani,14150,9%," 	25,116 ",,," 	4,270 "," 	5,023 "
Kaduna,Chikun,Chikun,22445,8%," 	32,514 "," 	277,780 "," 	402,397 "," 	5,527 "," 	6,503 "
Kaduna,Chikun,Gwagwada,18260,7%," 	26,452 ",,," 	4,497 "," 	5,290 "
Kaduna,Chikun,Kakau,16750,6%," 	24,264 ",,," 	4,125 "," 	4,853 "
Kaduna,Chikun,Kujama,26364,9%," 	38,191 ",,," 	6,493 "," 	7,638 "
Kaduna,Chikun,Kunai,40976,15%," 	59,359 ",,," 	10,091 "," 	11,872 "
Kaduna,Chikun,Kuriga,17010,6%," 	24,641 ",,," 	4,189 "," 	4,928 "
Kaduna,Chikun,Narayi,22395,8%," 	32,442 ",,," 	5,515 "," 	6,488 "
Kaduna,Chikun,Nassarawa,7945,3%," 	11,509 ",,," 	1,957 "," 	2,302 "
Kaduna,Chikun,Rido,20664,7%," 	29,934 ",,," 	5,089 "," 	5,987 "
Kaduna,Chikun,Sabon Gari,12205,4%," 	17,680 ",,," 	3,006 "," 	3,536 "
Kaduna,Chikun,Sabon Tasha,43640,16%," 	63,218 ",,," 	10,747 "," 	12,644 "
Kaduna,Chikun,Yelwa,29126,10%," 	42,192 ",,," 	7,173 "," 	8,438 "
Kaduna,Giwa,Danmahawayi,22410,9%," 	28,908 "," 	242,633 "," 	312,987 "," 	4,914 "," 	5,782 "
Kaduna,Giwa,Galadimawa,18764,8%," 	24,205 ",,," 	4,115 "," 	4,841 "
Kaduna,Giwa,Gangara,24100,10%," 	31,088 ",,," 	5,285 "," 	6,218 "
Kaduna,Giwa,Giwa,20005,8%," 	25,806 ",,," 	4,387 "," 	5,161 "
Kaduna,Giwa,Idasu,14640,6%," 	18,885 ",,," 	3,210 "," 	3,777 "
Kaduna,Giwa,Kakangi,16950,7%," 	21,865 ",,," 	3,717 "," 	4,373 "
Kaduna,Giwa,Kidandan,32086,13%," 	41,390 ",,," 	7,036 "," 	8,278 "
Kaduna,Giwa,Panhauya,19055,8%," 	24,580 ",,," 	4,179 "," 	4,916 "
Kaduna,Giwa,Shika,23764,10%," 	30,655 ",,," 	5,211 "," 	6,131 "
Kaduna,Giwa,Wazata,26564,11%," 	34,267 ",,," 	5,825 "," 	6,853 "
Kaduna,Giwa,Yakawada,24295,10%," 	31,340 ",,," 	5,328 "," 	6,268 "
Kaduna,IGABI,AFAKA,30702,7%," 	33,960 "," 	425,021 "," 	470,123 "," 	5,773 "," 	6,792 "
Kaduna,IGABI,B/YERO,26445,6%," 	29,251 ",,," 	4,973 "," 	5,850 "
Kaduna,IGABI,FANSHANU,33755,8%," 	37,337 ",,," 	6,347 "," 	7,467 "
Kaduna,IGABI,GWARAJI,39169,9%," 	43,326 ",,," 	7,365 "," 	8,665 "
Kaduna,IGABI,IGABI,24000,6%," 	26,547 ",,," 	4,513 "," 	5,309 "
Kaduna,IGABI,KERAWA,21050,5%," 	23,284 ",,," 	3,958 "," 	4,657 "
Kaduna,IGABI,KWARAU,39176,9%," 	43,333 ",,," 	7,367 "," 	8,667 "
Kaduna,IGABI,RIGACHIKUN,58931,14%," 	65,185 ",,," 	11,081 "," 	13,037 "
Kaduna,IGABI,RIGASA,89181,21%," 	98,645 ",,," 	16,770 "," 	19,729 "
Kaduna,IGABI,S/BIRNI,26776,6%," 	29,617 ",,," 	5,035 "," 	5,923 "
Kaduna,IGABI,TURUNKU,25105,6%," 	27,769 ",,," 	4,721 "," 	5,554 "
Kaduna,IGABI,Z/AYA,10731,3%," 	11,870 ",,," 	2,018 "," 	2,374 "
Kaduna,IKARA,AUCHAN,22731,8%," 	17,727 "," 	271,722 "," 	211,908 "," 	3,014 "," 	3,545 "
Kaduna,IKARA,IKARA,45100,17%," 	35,172 ",,," 	5,979 "," 	7,034 "
Kaduna,IKARA,JAMPALAN,34950,13%," 	27,256 ",,," 	4,634 "," 	5,451 "
Kaduna,IKARA,KURMI KOGI,37510,14%," 	29,253 ",,," 	4,973 "," 	5,851 "
Kaduna,IKARA,KUYA,19000,7%," 	14,818 ",,," 	2,519 "," 	2,964 "
Kaduna,IKARA,PAKI,25300,9%," 	19,731 ",,," 	3,354 "," 	3,946 "
Kaduna,IKARA,PALA,13000,5%," 	10,138 ",,," 	1,724 "," 	2,028 "
Kaduna,IKARA,RUMI,22755,8%," 	17,746 ",,," 	3,017 "," 	3,549 "
