State Name,LGA Name,WARD Name,Old Ward Total Pop.,Ward old % Pop.,New Ward Total. Pop.2009,Old LGA Total Pop,New LGA Total Pop.2009,New Ward 2009 0-59Mth Target,New Ward 2009 9-59Mth Target
Kano,Ajingi,Ajingi,17745,79%," 	150,703 "," 	22,602 "," 	191,952 "," 	25,620 "," 	30,141 "
Kano,Ajingi,Balare,17445,77%," 	148,155 ",,," 	25,186 "," 	29,631 "
Kano,Ajingi,Chula,14233,63%," 	120,877 ",,," 	20,549 "," 	24,175 "
Kano,Ajingi,Dabin-Kanawa,13683,61%," 	116,206 ",,," 	19,755 "," 	23,241 "
Kano,Ajingi,Dundun,13431,59%," 	114,065 ",,," 	19,391 "," 	22,813 "
Kano,Ajingi,Gafasa,12629,56%," 	107,254 ",,," 	18,233 "," 	21,451 "
Kano,Ajingi,Gurduba,12179,54%," 	103,433 ",,," 	17,584 "," 	20,687 "
Kano,Ajingi,Kunkun rawa,23755,105%," 	201,744 ",,," 	34,296 "," 	40,349 "
Kano,Ajingi,T oranke,22602,100%," 	191,952 ",,," 	32,632 "," 	38,390 "
Kano,Ajingi,Unguwar Bai,23636,105%," 	200,733 ",,," 	34,125 "," 	40,147 "
Kano,Albasu,Albasu Central,17360,10%," 	21,658 "," 	168,008 "," 	209,606 "," 	3,682 "," 	4,332 "
Kano,Albasu,Bataiya,17612,10%," 	21,973 ",,," 	3,735 "," 	4,395 "
Kano,Albasu,Daho,17207,10%," 	21,467 ",,," 	3,649 "," 	4,293 "
Kano,Albasu,Duja,9993,6%," 	12,467 ",,," 	2,119 "," 	2,493 "
Kano,Albasu,Fanda,17505,10%," 	21,839 ",,," 	3,713 "," 	4,368 "
Kano,Albasu,Faragai,17850,11%," 	22,270 ",,," 	3,786 "," 	4,454 "
Kano,Albasu,Gagarame,17007,10%," 	21,218 ",,," 	3,607 "," 	4,244 "
Kano,Albasu,Hungu,17207,10%," 	21,467 ",,," 	3,649 "," 	4,293 "
Kano,Albasu,Saya-Saya,17488,10%," 	21,818 ",,," 	3,709 "," 	4,364 "
Kano,Albasu,Tsangaya,18779,11%," 	23,429 ",,," 	3,983 "," 	4,686 "
Kano,Bagwai,Bagwai,8819,8%," 	15,198 "," 	104,160 "," 	179,507 "," 	2,584 "," 	3,040 "
Kano,Bagwai,Dangada,10619,10%," 	18,301 ",,," 	3,111 "," 	3,660 "
Kano,Bagwai,Gadanya,12350,12%," 	21,284 ",,," 	3,618 "," 	4,257 "
Kano,Bagwai,Gogori,8798,8%," 	15,162 ",,," 	2,578 "," 	3,032 "
Kano,Bagwai,Kiyawa,8881,9%," 	15,305 ",,," 	2,602 "," 	3,061 "
Kano,Bagwai,Kwajali,12398,12%," 	21,366 ",,," 	3,632 "," 	4,273 "
Kano,Bagwai,Rimin Dako,10490,10%," 	18,078 ",,," 	3,073 "," 	3,616 "
Kano,Bagwai,Romo,12302,12%," 	21,201 ",,," 	3,604 "," 	4,240 "
Kano,Bagwai,Sare-Sare,7129,7%," 	12,286 ",,," 	2,089 "," 	2,457 "
Kano,Bagwai,Wuro Bagga,12374,12%," 	21,325 ",,," 	3,625 "," 	4,265 "
Kano,Bebeji,Anadariya,7300,4%," 	7,619 "," 	199,466 "," 	208,180 "," 	1,295 "," 	1,524 "
Kano,Bebeji,Baguda,11440,6%," 	11,940 ",,," 	2,030 "," 	2,388 "
