State Name,LGA Name,WARD Name,Old Ward Total Pop.,Ward old % Pop.,New Ward Total. Pop.2009,Old LGA Total Pop,New LGA Total Pop.2009,New Ward 2009 0-59Mth Target,New Ward 2009 9-59Mth Target
KATSINA,BAKORI,Bakori A,7978,4%," 	6,203 "," 	209,922 "," 	163,222 "," 	1,055 "," 	1,241 "
KATSINA,BAKORI,BakoriB,16234,8%," 	12,623 ",,," 	2,146 "," 	2,525 "
KATSINA,BAKORI,Barde/K/Kwaram,22267,11%," 	17,313 ",,," 	2,943 "," 	3,463 "
KATSINA,BAKORI,Dawan Musa,14044,7%," 	10,920 ",,," 	1,856 "," 	2,184 "
KATSINA,BAKORI,Guga,22419,11%," 	17,432 ",,," 	2,963 "," 	3,486 "
KATSINA,BAKORI,Jargaba,19245,9%," 	14,964 ",,," 	2,544 "," 	2,993 "
KATSINA,BAKORI,Kabomo,18139,9%," 	14,104 ",,," 	2,398 "," 	2,821 "
KATSINA,BAKORI,Kakumi ,12276,6%," 	9,545 ",,," 	1,623 "," 	1,909 "
KATSINA,BAKORI,Kandarawa,13819,7%," 	10,745 ",,," 	1,827 "," 	2,149 "
KATSINA,BAKORI,Kurami/Yankwani,45872,22%," 	35,667 ",,," 	6,063 "," 	7,133 "
KATSINA,BAKORI,Tsiga/Makurdi,17629,8%," 	13,707 ",,," 	2,330 "," 	2,741 "
KATSINA,BATAGARAWA,AJIWA,10409,9%," 	17,910 "," 	117,219 "," 	201,690 "," 	3,045 "," 	3,582 "
KATSINA,BATAGARAWA,BAKIYAWA,16104,14%," 	27,709 ",,," 	4,711 "," 	5,542 "
KATSINA,BATAGARAWA,BARAWA,9256,8%," 	15,926 ",,," 	2,707 "," 	3,185 "
KATSINA,BATAGARAWA,BATAGARAWA,13606,12%," 	23,411 ",,," 	3,980 "," 	4,682 "
KATSINA,BATAGARAWA,DABAIBAYAWA,18350,16%," 	31,573 ",,," 	5,367 "," 	6,315 "
KATSINA,BATAGARAWA,DANDAGORO,26602,23%," 	45,772 ",,," 	7,781 "," 	9,154 "
KATSINA,BATAGARAWA,JINO,3590,3%," 	6,177 ",,," 	1,050 "," 	1,235 "
KATSINA,BATAGARAWA,KAYAUKI,5701,5%," 	9,809 ",,," 	1,668 "," 	1,962 "
KATSINA,BATAGARAWA,TSANNI,2081,2%," 	3,581 ",,, 	609 , 	716 
KATSINA,BATAGARAWA,YARGAMJI,11520,10%," 	19,822 ",,," 	3,370 "," 	3,964 "
KATSINA,BATSARI,ABADUA/KAGARA,19703,9%," 	19,832 "," 	226,873 "," 	228,356 "," 	3,371 "," 	3,966 "
KATSINA,BATSARI,BATSARI ,43336,19%," 	43,619 ",,," 	7,415 "," 	8,724 "
KATSINA,BATSARI,DAN-ALHAJI/YANGAYYA,32585,14%," 	32,798 ",,," 	5,576 "," 	6,560 "
KATSINA,BATSARI,DARINI/MAGAJI ABU,8933,4%," 	8,991 ",,," 	1,529 "," 	1,798 "
KATSINA,BATSARI,KANDAWA ,24940,11%," 	25,103 ",,," 	4,268 "," 	5,021 "
KATSINA,BATSARI,KARARE ,20089,9%," 	20,220 ",,," 	3,437 "," 	4,044 "
KATSINA,BATSARI,MADOGARA,17626,8%," 	17,741 ",,," 	3,016 "," 	3,548 "
KATSINA,BATSARI,MALAMAWA YAUYAU,8827,4%," 	8,885 ",,," 	1,510 "," 	1,777 "
KATSINA,BATSARI,MANAWA ,12610,6%," 	12,692 ",,," 	2,158 "," 	2,538 "
KATSINA,BATSARI,RUMAH  ,25299,11%," 	25,464 ",,," 	4,329 "," 	5,093 "
KATSINA,BATSARI,WAGINI  ,12925,6%," 	13,009 ",,," 	2,212 "," 	2,602 "
KATSINA,BAURE,B/MUTUM,9862,5%," 	10,343 "," 	205,705 "," 	215,732 "," 	1,758 "," 	2,069 "
KATSINA,BAURE,BAURE,14516,7%," 	15,224 ",,," 	2,588 "," 	3,045 "
KATSINA,BAURE,DANKUM/AGALA,19117,9%," 	20,049 ",,," 	3,408 "," 	4,010 "
KATSINA,BAURE,FASKI/KAGARA,19193,9%," 	20,129 ",,," 	3,422 "," 	4,026 "
KATSINA,BAURE,GARKI,22504,11%," 	23,601 ",,," 	4,012 "," 	4,720 "
KATSINA,BAURE,HUI,33637,16%," 	35,277 ",,," 	5,997 "," 	7,055 "
KATSINA,BAURE,MAIBARA,13643,7%," 	14,308 ",,," 	2,432 "," 	2,862 "
KATSINA,BAURE,MUDIRI,10720,5%," 	11,243 ",,," 	1,911 "," 	2,249 "
KATSINA,BAURE,TARAMNAWA/BARE,17242,8%," 	18,082 ",,," 	3,074 "," 	3,616 "
KATSINA,BAURE,UNG.RAI,13925,7%," 	14,604 ",,," 	2,483 "," 	2,921 "
KATSINA,BAURE,YANDUNA,8696,4%," 	9,120 ",,," 	1,550 "," 	1,824 "
KATSINA,BAURE,YANMAULU,22650,11%," 	23,754 ",,," 	4,038 "," 	4,751 "
KATSINA,BINDAWA,BAURE,8794,5%," 	7,689 "," 	190,407 "," 	166,484 "," 	1,307 "," 	1,538 "
KATSINA,BINDAWA,BINDAWA,18164,10%," 	15,882 ",,," 	2,700 "," 	3,176 "
KATSINA,BINDAWA,DALLAJI/FARU,34583,18%," 	30,238 ",,," 	5,140 "," 	6,048 "
KATSINA,BINDAWA,DORO,14931,8%," 	13,055 ",,," 	2,219 "," 	2,611 "
