State Name,LGA Name,WARD Name,Old Ward Total Pop.,Ward old % Pop.,New Ward Total. Pop.2009,Old LGA Total Pop,New LGA Total Pop.2009,New Ward 2009 0-59Mth Target,New Ward 2009 9-59Mth Target
Kebbi,Aliero,D/Galadima 1,10914,19%," 	13,444 "," 	58,694 "," 	72,300 "," 	2,285 "," 	2,689 "
Kebbi,Aliero,D/Galadima 11,3157,5%," 	3,889 ",,, 	661 , 	778 
Kebbi,Aliero,Dan Warai,4379,7%," 	5,394 ",,, 	917 ," 	1,079 "
Kebbi,Aliero,J/Birni,4295,7%," 	5,291 ",,, 	899 ," 	1,058 "
Kebbi,Aliero,J/Makera,1679,3%," 	2,068 ",,, 	352 , 	414 
Kebbi,Aliero,K/Zama,4686,8%," 	5,772 ",,, 	981 ," 	1,154 "
Kebbi,Aliero,R/Bauna,4410,8%," 	5,432 ",,, 	923 ," 	1,086 "
Kebbi,Aliero,S/Fada 1,12912,22%," 	15,905 ",,," 	2,704 "," 	3,181 "
Kebbi,Aliero,S/Fada 11,6129,10%," 	7,550 ",,," 	1,283 "," 	1,510 "
Kebbi,Aliero,Sabiyal,6133,10%," 	7,555 ",,," 	1,284 "," 	1,511 "
Kebbi,Arewa,Bachaka,18624,13%," 	27,091 "," 	138,650 "," 	201,681 "," 	4,605 "," 	5,418 "
Kebbi,Arewa,Bui,17764,13%," 	25,840 ",,," 	4,393 "," 	5,168 "
Kebbi,Arewa,Chibike,9889,7%," 	14,385 ",,," 	2,445 "," 	2,877 "
Kebbi,Arewa,Felde,3715,3%," 	5,404 ",,, 	919 ," 	1,081 "
Kebbi,Arewa,Feske /Jefeje,11820,9%," 	17,193 ",,," 	2,923 "," 	3,439 "
Kebbi,Arewa,Gorun Dikko,4445,3%," 	6,466 ",,," 	1,099 "," 	1,293 "
Kebbi,Arewa,Gumunde /Rafin Tsaka,21714,16%," 	31,585 ",,," 	5,370 "," 	6,317 "
Kebbi,Arewa,Kangiwa,14251,10%," 	20,730 ",,," 	3,524 "," 	4,146 "
Kebbi,Arewa,Lema Jantulu,17496,13%," 	25,450 ",,," 	4,326 "," 	5,090 "
Kebbi,Arewa,Sarka,9528,7%," 	13,859 ",,," 	2,356 "," 	2,772 "
Kebbi,Arewa,Yeldu,9404,7%," 	13,679 ",,," 	2,325 "," 	2,736 "
Kebbi,Argungu,Alwasa,22950,10%," 	20,426 "," 	240,700 "," 	214,233 "," 	3,472 "," 	4,085 "
Kebbi,Argungu,Dikko,10207,4%," 	9,085 ",,," 	1,544 "," 	1,817 "
Kebbi,Argungu,Filande,23117,10%," 	20,575 ",,," 	3,498 "," 	4,115 "
Kebbi,Argungu,Galadima,30410,13%," 	27,066 ",,," 	4,601 "," 	5,413 "
Kebbi,Argungu,Gulma,30150,13%," 	26,835 ",,," 	4,562 "," 	5,367 "
Kebbi,Argungu,Gwazange,20059,8%," 	17,853 ",,," 	3,035 "," 	3,571 "
Kebbi,Argungu,Kokani north,35910,15%," 	31,961 ",,," 	5,433 "," 	6,392 "
Kebbi,Argungu,Kokani south,11647,5%," 	10,366 ",,," 	1,762 "," 	2,073 "
Kebbi,Argungu,Lailaba,25910,11%," 	23,061 ",,," 	3,920 "," 	4,612 "
Kebbi,Argungu,Sauwa,18350,8%," 	16,332 ",,," 	2,776 "," 	3,266 "
Kebbi,Argungu,Zazzagawa,11990,5%," 	10,672 ",,," 	1,814 "," 	2,134 "
Kebbi,Augie,Augie north,6042,5%," 	6,540 "," 	118,740 "," 	128,536 "," 	1,112 "," 	1,308 "
Kebbi,Augie,Augie south,27053,23%," 	29,285 ",,," 	4,978 "," 	5,857 "
Kebbi,Augie,Bagaye Meira,7734,7%," 	8,372 ",,," 	1,423 "," 	1,674 "
Kebbi,Augie,Bayawa north,8625,7%," 	9,337 ",,," 	1,587 "," 	1,867 "
Kebbi,Augie,Bayawa south,8420,7%," 	9,115 ",,," 	1,549 "," 	1,823 "
Kebbi,Augie,Birnin tudu Gudale,16332,14%," 	17,679 ",,," 	3,005 "," 	3,536 "
Kebbi,Augie,Bubuche,8610,7%," 	9,320 ",,," 	1,584 "," 	1,864 "
Kebbi,Augie,Kwaido,13531,11%," 	14,647 ",,," 	2,490 "," 	2,929 "
Kebbi,Augie,Tiggi,12387,10%," 	13,409 ",,," 	2,280 "," 	2,682 "
Kebbi,Augie,Yola,10006,8%," 	10,831 ",,," 	1,841 "," 	2,166 "
Kebbi,Bagudo,Bagudo/Tuga,27700,12%," 	31,608 "," 	228,400 "," 	260,627 "," 	5,373 "," 	6,322 "
Kebbi,Bagudo,Bahindi/Kaliel,19640,9%," 	22,411 ",,," 	3,810 "," 	4,482 "
Kebbi,Bagudo,Bani/Tsamiya,21470,9%," 	24,499 ",,," 	4,165 "," 	4,900 "
