State Name,LGA Name,WARD Name,Old Ward Total Pop.,Ward old % Pop.,New Ward Total. Pop.2009,Old LGA Total Pop,New LGA Total Pop.2009,New Ward 2009 0-59Mth Target,New Ward 2009 9-59Mth Target
Sokoto,BINJI,Binji,3720,7%," 	7,605 "," 	56,140 "," 	114,766 "," 	1,293 "," 	1,521 "
Sokoto,BINJI,Bunkari,7090,13%," 	14,494 ",,," 	2,464 "," 	2,899 "
Sokoto,BINJI,Gawazai,3625,6%," 	7,411 ",,," 	1,260 "," 	1,482 "
Sokoto,BINJI,Inname,5430,10%," 	11,100 ",,," 	1,887 "," 	2,220 "
Sokoto,BINJI,Jamali,4715,8%," 	9,639 ",,," 	1,639 "," 	1,928 "
Sokoto,BINJI,Maikulki,7015,12%," 	14,341 ",,," 	2,438 "," 	2,868 "
Sokoto,BINJI,Samama,5260,9%," 	10,753 ",,," 	1,828 "," 	2,151 "
Sokoto,BINJI,Soron Gabas,7000,12%," 	14,310 ",,," 	2,433 "," 	2,862 "
Sokoto,BINJI,Soron Yamma,8225,15%," 	16,814 ",,," 	2,858 "," 	3,363 "
Sokoto,BINJI,Tudun Kose,4060,7%," 	8,300 ",,," 	1,411 "," 	1,660 "
Sokoto,BODINGA,Badau/Darhela,7600,5%," 	9,752 "," 	149,380 "," 	191,671 "," 	1,658 "," 	1,950 "
Sokoto,BODINGA,Bagarawa,7645,5%," 	9,809 ",,," 	1,668 "," 	1,962 "
Sokoto,BODINGA,Bangi/Dabaga,22005,15%," 	28,235 ",,," 	4,800 "," 	5,647 "
Sokoto,BODINGA,Bodinga/Tauma,23675,16%," 	30,378 ",,," 	5,164 "," 	6,076 "
Sokoto,BODINGA,Danchadi,24745,17%," 	31,751 ",,," 	5,398 "," 	6,350 "
Sokoto,BODINGA,Dingyadi,11520,8%," 	14,781 ",,," 	2,513 "," 	2,956 "
Sokoto,BODINGA,Kauramiyo,22445,15%," 	28,799 ",,," 	4,896 "," 	5,760 "
Sokoto,BODINGA,Kwacciyar Lalle,5440,4%," 	6,980 ",,," 	1,187 "," 	1,396 "
Sokoto,BODINGA,Sifawa/Lukuyawa,11225,8%," 	14,403 ",,," 	2,448 "," 	2,881 "
Sokoto,BODINGA,Taka-tuku,7645,5%," 	9,809 ",,," 	1,668 "," 	1,962 "
